,Company name,Website,Sector,Region,Revenue Band
178,CHESS TECHNOLOGIES LIMITED,http://www.chess-dynamics.com,Security,South East England,£10M - £20M
179,CHESTNUT HOMES LIMITED,https://www.chestnuthomes.co.uk,Engineering & Construction,East Midlands,£20M - £30M
180,CHURCHES FIRE SECURITY LTD.,http://www.churchesfire.com,Building & Landscape services,South East England,£10M - £20M
181,CHURCHILL RETIREMENT PLC,https://www.churchillretirement.co.uk,Real Estate,South East England,£150M - £200M
182,CITYFIBRE INFRASTRUCTURE HOLDINGS PLC,https://www.cityfibre.com,Information Technology,London,£10M - £20M
183,CITYNET LONDON HOLDINGS LTD,http://citynet.eu.com,Financial services,London,£6M - £10M
184,CIVILS STORE LIMITED,https://www.civilsstore.co.uk,Engineering & Construction,South West England,£6M - £10M
185,CLAYTON GLASS LIMITED,http://claytonglass.co.uk/,Manufacturing,North East England,£10M - £20M
186,CLEGG GIFFORD HOLDINGS LIMITED,https://www.cginsurance.com,Insurance,London,£10M - £20M
187,CLIC TIME HOLDINGS LIMITED,http://www.clictime.com,Retail,North East England,£10M - £20M
188,CLICK TRAVEL LTD,http://www.clicktravel.com ,Leisure,West Midlands,£150M - £200M
189,CLOUDFM SHARED SERVICES LIMITED,http://cloudfmgroup.com/,Professional services,East of England,£10M - £20M
190,CLOUDREACH HOLDINGS LIMITED,https://www.cloudreach.com,Information Technology,London,£40M - £50M
191,CLOUDSENSE LTD,http://cloudsense.com,Information Technology,London,£20M - £30M
192,CLUBHOUSE GOLF LIMITED,http://www.clubhousegolf.co.uk/ ,Retail,North West England,£10M - £20M
193,CMG HOLDCO LIMITED,http://cmg.co.uk/,Healthcare,South East England,£50M - £75M
194,CMI CORPORATION LIMITED,http://www.cmilabsplc.com,Information Technology,South East England,£6M - £10M
195,COBALT CONSULTING HOLDINGS LIMITED,https://www.cobaltrecruitment.com,Employment services,London,£20M - £30M
196,CODA AGENCY LIMITED,http://www.codaagency.com,Arts,London,£10M - £20M
197,COLLINS EARTHWORKS LIMITED,https://www.collinsearthworks.co.uk,Building & Landscape services,East Midlands,£30M - £40M
198,COMMHOIST LIMITED,http://www.commhoist.co.uk,Building & Landscape services,North West England,£10M - £20M
199,COMMUNITY DENTAL SERVICES CIC,https://communitydentalservices.co.uk,Healthcare,East of England,£10M - £20M
200,COMPLETE ASSET LIFE MANAGEMENT GROUP LIMITED,http://www.calm-solutions.com,Building & Landscape services,North West England,£6M - £10M
201,COMPLETE BUSINESS SOLUTIONS GROUP HOLDINGS LIMITED,http://www.c-o-s.co.uk,Professional services,Yorkshire and the Humber,£30M - £40M
202,COMPTOIR GROUP PLC,http://www.comptoirlibanais.com,Food & Beverage,London,£20M - £30M
203,CONAMAR BUILDING SERVICES LIMITED,http://www.conamar.co.uk,Engineering & Construction,East of England,£30M - £40M
